k,▲,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Saddiq Bey,21,70,53,27.3,4.0,9.9,0.404,2.5,6.6,0.380,1.5,3.3,0.450,0.530,1.8,2.1,0.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2,1909,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,,1.6,1.7,3.3,0.082,,0.3,-0.8,-0.5,0.7
2,Tyler Cook,23,28,1,15.0,2.4,3.6,0.680,0.0,0.1,0.500,2.4,3.5,0.684,0.685,0.6,1.3,0.486,1.0,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5,421,13.2,0.667,0.020,0.350,7.1,17.6,12.3,5.6,0.9,0.4,14.8,14.1,,0.5,0.3,0.8,0.096,,-2.0,-0.8,-2.9,-0.1
3,Hamidou Diallo,22,20,4,23.3,4.1,8.7,0.468,0.8,2.1,0.390,3.3,6.6,0.492,0.514,2.3,3.4,0.662,1.1,4.3,5.4,1.2,0.5,0.6,1.4,2.6,11.2,465,13.1,0.549,0.237,0.393,5.2,20.6,12.8,8.3,1.1,2.2,11.7,21.6,,0.1,0.5,0.6,0.059,,-2.4,-0.8,-3.2,-0.1
4,Sekou Doumbouya,20,56,11,15.5,1.9,5.0,0.379,0.5,2.1,0.226,1.4,3.0,0.485,0.426,0.8,1.1,0.703,0.7,1.9,2.6,0.8,0.4,0.2,0.8,1.7,5.1,869,6.9,0.459,0.408,0.227,4.9,13.5,9.2,8.0,1.4,0.9,12.4,17.8,,-0.9,0.7,-0.2,-0.012,,-5.4,-1.3,-6.7,-1.0
5,Wayne Ellington,33,46,31,22.0,3.2,7.3,0.441,2.5,6.0,0.422,0.7,1.4,0.524,0.612,0.6,0.8,0.800,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6,1012,12.2,0.625,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,,1.3,0.5,1.9,0.088,,1.1,-1.3,-0.2,0.5
6,Jerami Grant,26,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.350,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,2.3,22.3,1829,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,,1.6,1.6,3.2,0.083,,1.9,-0.8,1.1,1.4
7,Blake Griffin,31,20,20,31.3,4.1,11.1,0.365,2.0,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3,626,9.8,0.491,0.559,0.279,1.2,17.4,9.2,18.4,1.1,0.3,11.4,19.6,,-0.2,0.5,0.3,0.026,,-1.9,-0.3,-2.2,-0.1
8,Killian Hayes,19,26,18,25.8,2.7,7.7,0.353,0.8,2.8,0.278,2.0,5.0,0.395,0.403,0.5,0.7,0.824,0.2,2.4,2.7,5.3,1.0,0.4,3.2,2.2,6.8,670,5.3,0.422,0.358,0.085,1.0,10.6,5.7,29.7,2.0,1.3,28.5,19.0,,-1.8,0.6,-1.1,-0.081,,-6.3,-0.9,-7.2,-0.9
9,Frank Jackson,22,40,6,18.5,3.4,7.3,0.457,1.5,3.8,0.407,1.8,3.6,0.510,0.561,1.5,1.9,0.813,0.4,1.8,2.2,0.9,0.4,0.0,0.9,1.3,9.8,738,13.2,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1.0,0.1,9.4,21.3,,0.7,0.4,1.2,0.076,,-0.1,-1.6,-1.7,0.1
10,Josh Jackson,23,62,25,25.2,4.8,11.4,0.419,1.2,4.1,0.300,3.5,7.3,0.487,0.473,2.6,3.5,0.729,0.9,3.2,4.1,2.3,0.9,0.8,2.3,2.9,13.4,1560,12.0,0.516,0.364,0.308,4.0,14.2,9.1,15.1,1.7,2.6,15.0,26.5,,-1.6,1.7,0.1,0.004,,-2.5,-0.5,-3.0,-0.4
